Time,FC,PAS,PAM,PAD
-1,73,126,78,75
0,80.3,138.6,85.8,75
30,80.9067,136.856,84.1043,75
60,81.3419,141.901,87.5019,75
90,81.5208,137.375,86.7215,75
120,81.9606,135.773,85.6623,75
150,89.0199,137.582,93.9165,75
180,87.4073,135.959,93.6427,75
210,87.5248,137.696,95.3006,75
240,87.9035,138.412,93.7811,75
270,81.1844,138.374,87.3469,75
300,80.0779,140.39,86.0503,75
330,78.624,137.035,84.1932,75
360,79.7585,139.24,86.8222,75
390,82.0843,136.067,87.0972,75
420,79.3054,136.069,85.9715,75
450,79.5049,143.191,85.7825,76.3611
480,80.9111,142.26,84.3586,74.9659
510,80.2401,140.722,84.3987,73.6786
540,78.228,135.463,86.6136,75.6869
570,79.5836,136.783,82.1795,74.6995
600,81.0796,135.85,86.3683,73.8027
630,79.4253,140.967,83.5626,74.214
660,80.9195,140.152,86.8167,74.3233
690,81.8343,136.075,84.9607,74.0534
720,80.3755,139.739,88.5189,75.9201
750,82.9353,139.483,85.9522,76.1935
780,78.6459,133.74,86.5087,76.7365
810,78.1641,139.196,86.5647,75.4342
840,80.3249,139.729,87.1123,75.791
870,80.0017,136.87,84.991,74.2387
900,82.7097,132.762,84.7679,75.5038
930,81.9575,118.028,67.4235,59.3869
960,78.5932,115.147,63.9581,55.3593
990,76.2619,112.167,71.9033,58.8783
1020,80.3502,112.008,66.894,59.6424
1050,75.6291,107.495,67.005,60.9388
1080,74.5611,108.902,67.7884,60.6383
1110,75.419,102.733,72.3505,59.1118
1140,72.0294,110.512,70.6536,58.86
1170,71.3543,103.911,71.7267,62.8434
1200,73.7936,109.291,71.4384,61.8115
1230,70.4231,104.788,64.1841,60.7222
1260,69.6119,106.183,82.0001,79.0682
1290,75.3307,110.874,81.6828,76.7662
1320,72.6452,140.393,91.8243,76.287
1350,74.9076,141.22,87.2933,75.8461
1380,72.6684,136.72,84.9711,72.9255
1410,69.654,142.252,87.5877,76.1215
1440,72.3803,136.087,81.9967,75.3538
1470,72.1849,134.812,82.9246,74.3732
1500,70.7704,138.091,82.4241,77.7113
1530,70.0846,145.335,85.3729,77.1016
1560,71.6047,138.601,84.6484,75.4117
1590,73.4371,136.11,86.9542,76.1011
1620,70.0309,136.905,86.091,73.624
1650,73.424,140.359,87.21,74.7024
1680,71.4878,135.676,84.9864,72.4119
1710,70.2439,134.585,89.9901,70.7335
1740,73.2374,134.278,87.0901,78.3907
1770,74.9376,134.279,84.6872,71.0985
1800,63.5814,121.086,57.501,63.1355
1830,58.4512,102.563,38.1748,51.1013
1860,62.1408,96.4668,37.6226,54.1289
1890,57.9464,97.4584,42.0098,56.0029
1920,61.8582,99.5496,43.1155,53.216
1950,58.8301,99.2837,37.4449,55.4125
1980,57.8916,101.656,40.3124,52.0392
2010,60.6102,102.843,38.6168,53.1755
2040,62.5986,98.1527,53.9673,54.3733
2070,64.7142,99.1349,55.9894,51.0971
2100,66.6168,102.071,54.6108,54.1814
2130,63.646,100.995,53.3437,55.238
