Time,FC,PAS,PAM,PAD
-1,69,98,103,60
0,75.9,107.8,113.3,60
30,77.4972,110.362,115.584,60
60,76.6703,106.672,113.754,60
90,77.1169,109.818,113.869,60
120,77.5808,110.349,111.486,60
150,84.9144,106.493,125.561,60
180,85.3945,106.193,125.779,60
210,74.9101,106.214,123.266,60
240,74.6283,105.808,126.116,60
270,74.4076,108.87,110.549,60
300,77.753,108.305,114.386,60
330,75.7824,106.685,114.763,60
360,75.0158,110.155,114.494,60
390,74.7445,107.305,115.778,60
420,76.3135,108.733,110.644,60
450,76.6201,107.709,113.829,58.407
480,75.822,105.168,113.66,58.1041
510,73.686,109.564,114.382,61.8149
540,76.1133,106.997,113.36,59.3395
570,74.4544,104.6,112.67,58.9233
600,75.6982,107.832,112.132,62.1305
630,75.6711,107.641,112.747,61.7503
660,72.4019,109.092,116.24,58.4759
690,74.376,108.917,114.075,61.8313
720,75.7941,104.561,114.426,61.4915
750,75.889,110.405,113.752,60.2811
780,75.5902,108.704,109.871,58.6094
810,74.3715,87.4723,87.4997,46.7218
840,71.8297,85.3631,90.3404,51.2075
870,69.2738,85.8411,89.1478,50.6934
900,71.7755,85.0143,92.6511,48.1833
930,71.5816,86.469,92.5893,50.4681
960,70.3156,88.1822,89.9521,47.8524
990,70.5012,81.2676,92.0268,45.2441
1020,72.4023,82.6107,93.3251,48.5128
1050,65.2568,85.448,91.8782,47.0471
1080,68.7468,85.3071,87.0427,47.3099
1110,67.1751,88.5745,89.3553,52.0584
1140,68.8352,83.8526,93.0478,53.963
1170,68.8548,84.3441,90.5009,62.4034
1200,65.5635,92.6653,89.5306,54.6589
1230,58.5483,81.0677,60.6847,43.9778
1260,57.8177,80.3087,59.6824,39.8792
1290,60.7879,84.6449,58.9864,40.8168
1320,56.255,81.6537,60.3603,38.7614
1350,57.9294,86.1564,63.0276,42.5311
1380,56.0045,86.0551,61.1156,46.0253
1410,58.762,76.1199,61.9123,42.3675
1440,60.1145,77.7694,86.7292,42.0587
1470,62.3199,77.2194,86.4299,40.3336
1500,61.742,71.4622,86.7202,40.2149
1530,61.0743,80.0042,86.1407,37.5602
1560,64.8548,76.8561,88.3892,40.3334
1590,63.0535,73.5313,84.1673,42.2421
1620,61.9952,79.1331,86.3277,43.2058
1650,64.3477,79.6361,82.4397,45.1757
1680,62.03,78.9444,87.0872,40.1054
1710,61.6489,80.4266,82.9868,45.6893
1740,60.8381,81.2665,85.9088,42.1588
1770,62.1462,74.9783,88.8878,38.2165
1800,64.1743,79.2651,84.2197,39.5138
1830,63.6243,77.762,83.155,38.6162
1860,59.9569,72.9209,81.5209,43.0459
1890,55.6807,66.7139,58.7984,35.2571
1920,56.491,61.8906,58.628,30.3696
1950,56.2475,51.8982,58.8083,25.6285
1980,59.0406,55.0054,64.2249,31.3177
2010,62.7428,55.1077,65.181,25.2802
2040,71.3677,72.1176,80.3256,30.6465
2070,72.5435,72.4357,79.1218,27.3922
2100,72.5267,68.8552,82.4181,26.417
2130,69.1131,66.7365,83.6624,30.6289
2160,70.5423,72.3322,78.8388,27.2499
2190,70.4958,72.3777,82.4156,27.8479
2220,68.1499,68.9076,80.3153,26.8353
2250,70.9407,73.9961,78.1078,26.7265
2280,71.9787,75.238,77.1586,28.9398
2310,66.8256,71.3051,76.513,28.3778
2340,68.9329,65.7918,84.574,31.9008
2370,70.5223,69.0528,79.8237,27.0523
2400,69.9852,72.1361,83.8247,26.6693
2430,60.0275,55.1757,74.4519,27.9612
2460,56.7726,65.2807,76.7213,24.611
2490,59.9339,59.2602,74.237,33.434
