Time,FC,PAS,PAM,PAD
-1,64,114,77,62
0,70.4,125.4,84.7,62
30,71.2071,125.072,84.0207,62
60,70.5141,127.178,85.3952,62
90,68.9419,122.807,82.987,62
120,71.4617,122.933,85.7882,62
150,78.5333,122.945,93.9533,62
180,75.974,122.48,93.1275,62
210,71.882,127.351,84.4172,62
240,71.1631,124.623,82.7245,62
270,71.5364,124.598,86.2704,62
300,69.1918,125.626,84.746,62
330,70.8274,126.061,84.5497,62
360,71.1426,123.66,84.7005,62
390,69.8012,123.271,83.0718,62
420,69.3219,125.894,84.6826,62
450,71.8144,121.699,82.8037,62.2142
480,69.5943,124.864,87.826,63.9273
510,69.0543,125.937,81.8243,62.7891
540,71.7054,123.295,86.1085,63.4052
570,72.113,130.281,84.8218,63.9348
600,68.8902,124.612,84.8601,62.9984
630,73.4192,128.683,84.1822,61.3386
660,71.2082,120.237,82.7246,62.817
690,69.9213,127.734,84.432,63.0729
720,70.4431,126.483,82.5874,62.5636
750,68.6401,122.662,82.1499,63.6172
780,70.8009,121.237,83.7007,59.663
810,68.9491,100.742,70.2572,51.1415
840,67.6889,98.9962,63.4702,50.6388
870,68.9527,104.513,68.1581,50.4268
900,69.6261,103.368,71.3065,46.6888
930,70.0694,99.3808,69.0153,48.9705
960,65.8229,102.185,69.595,49.835
990,63.3738,101.175,65.06,50.9103
1020,62.488,108.255,67.1434,53.434
1050,68.9903,100.664,63.2535,50.1329
1080,65.0529,126.119,85.7917,50.7671
1110,65.0976,123.226,87.0669,49.759
1140,60.772,125.627,82.1181,66.0042
1170,62.0779,125.773,88.2229,59.6715
1200,62.7189,122.162,83.736,62.5662
1230,62.0512,122.219,84.9317,60.4913
1260,62.9712,104.719,59.7736,44.158
1290,53.0886,88.1363,42.3296,44.9409
1320,54.0689,92.1023,40.3176,44.3042
1350,53.3231,89.445,43.7793,41.987
1380,53.5812,85.8897,45.3068,43.5912
1410,54.799,84.1451,37.7921,46.1787
1440,52.6898,86.7984,42.2646,44.8927
1470,55.0741,91.9461,40.3971,43.0086
1500,60.5925,85.512,54.2431,44.2164
1530,59.9231,91.2916,59.2665,45.3722
1560,58.372,87.4669,56.3331,45.6888
1590,59.5069,87.388,56.787,45.1466
1620,57.9572,90.6261,56.1152,45.7454
1650,58.3134,88.3114,58.536,41.9787
1680,60.5719,87.7175,57.3371,40.4767
1710,54.4461,84.2202,56.2637,41.865
1740,56.1233,93.1924,57.9805,45.8552
1770,55.8741,90.5517,57.0991,41.0821
1800,57.7814,84.0298,58.2654,47.1628
1830,56.5359,76.0854,40.8541,32.109
1860,50.6254,62.1287,38.1365,29.1837
1890,54.7688,60.3116,43.1109,29.3421
1920,55.8651,62.026,42.4281,29.1594
1950,51.12,59.3217,36.2577,30.2209
1980,51.4868,64.9287,44.7899,31.6851
2010,53.5836,60.1277,38.5407,29.2985
2040,53.5098,58.8682,36.0474,28.2836
2070,50.4186,64.9501,38.3097,27.4034
2100,49.6372,65.6825,40.7211,28.9505
2130,53.3899,65.7125,42.7368,24.6586
2160,55.1132,67.3063,44.3541,28.5396
2190,70.5734,80.0937,53.4914,29.5269
2220,68.4358,77.8357,54.7531,30.0375
2250,67.6424,81.9253,54.9251,24.6253
2280,68.6272,81.9943,56.9687,28.1416
2310,69.9376,82.7911,53.9989,31.7984
2340,65.6278,79.9163,56.4336,25.5371
2370,65.9667,81.5269,53.3664,32.2819
2400,58.0215,66.8071,48.9231,29.8563
2430,53.8652,67.1145,48.4494,33.4006
2460,56.8462,63.7693,48.6221,29.069
2490,55.7615,63.926,50.3825,33.1037
2520,54.2679,66.8148,50.1316,32.7016
2550,57.3901,62.1578,50.174,28.8082
2580,54.1599,66.9676,50.2969,29.1548
2610,56.4324,60.9502,48.1764,28.2005
2640,53.709,64.8176,50.5011,30.3185
2670,54.782,62.9542,49.1433,32.5699
2700,53.6189,63.3834,47.7625,30.2992
2730,53.6777,66.2883,51.4969,29.5237
2760,60.8178,75.3871,57.6308,31.4418
2790,67.5535,74.7525,56.5743,27.2757
2820,67.8859,75.288,56.9101,26.3469
2850,66.9514,85.8687,48.9836,27.2296
2880,61.3285,75.5344,55.4939,28.8521
2910,65.9259,82.5393,56.9368,31.6011
2940,62.5511,82.9769,53.9544,28.5212
2970,64.6636,77.1271,55.422,28.3509
3000,61.1523,80.0398,53.9415,28.973
3030,64.6761,80.0109,52.3612,27.045
3060,62.6097,80.6146,55.8079,29.6022
3090,67.7437,87.2515,56.5951,28.354
3120,69.6575,90.4051,52.8848,27.9321
3150,67.5824,82.4116,60.4352,28.6799
3180,70.9947,92.463,59.5988,30.3406
3210,68.2254,86.9218,57.3131,32.3024
3240,66.3174,87.7637,61.6868,27.3781
3270,62.3542,86.9285,63.6626,27.6799
3300,65.3142,87.0707,55.5009,30.6453
3330,63.2934,87.0728,58.6774,35.0988
3360,65.5502,90.0321,59.3198,27.5647
3390,66.1251,91.3941,60.3758,32.593
3420,65.7016,80.4312,57.3644,29.2305
3450,68.6001,84.8739,53.7038,26.7835
3480,68.4496,91.4872,62.0998,30.0945
3510,63.8078,86.475,58.5423,27.6276
3540,67.7059,88.5404,61.6688,25.9451
3570,65.5518,88.0327,56.3491,29.0246
3600,67.8465,92.2877,56.3431,26.5003
3630,66.5933,91.8113,63.4698,29.1386
3660,67.1971,82.6105,59.8311,28.7202
3690,64.3548,88.3794,60.5823,28.4912
3720,65.033,90.5395,55.6689,27.1876
3750,66.7967,87.4881,55.1147,28.2276
3780,63.9683,85.3,59.4874,26.8563
3810,68.9146,84.4768,58.064,28.473
3840,64.159,85.6529,51.9111,26.6012
3870,64.4116,86.9332,57.7487,30.9989
3900,65.9654,85.2843,61.1372,29.4275
3930,68.986,87.5175,58.9606,31.8198
3960,65.2927,84.6842,55.4528,24.4156
3990,67.662,87.776,59.2887,28.1171
4020,67.4927,95.165,62.3972,31.1865
4050,67.0567,89.6923,57.9312,27.4981
4080,67.7393,85.9675,57.0152,29.647
4110,65.5196,90.4172,57.8296,28.6533
4140,65.9562,84.2993,57.8946,26.1282
4170,65.4717,88.9555,60.9891,30.0386
4200,64.3278,86.3843,55.0187,30.8188
4230,65.3941,84.1522,55.6812,28.3523
4260,68.2041,91.5216,61.456,27.7026
4290,66.4033,88.6256,58.6219,27.9274
4320,66.5643,82.6818,63.084,27.2193
4350,67.5174,86.0255,58.7667,27.7447
4380,66.5306,84.1515,58.622,30.8136
4410,66.0345,85.4117,63.3032,27.6671
4440,70.4119,83.061,62.5893,30.2771
4470,68.1586,88.2721,59.4631,24.5382
4500,66.7054,93.8564,58.3293,26.6617
4530,70.9714,87.3782,58.1675,24.9648
4560,66.5872,86.4325,59.8553,27.3841
4590,67.0213,88.3073,64.1816,27.7117
4620,64.9401,87.0245,62.9812,31.6969
4650,66.2775,90.9988,59.0975,25.0234
4680,68.4364,91.0854,58.8021,31.5259
4710,68.1726,92.7484,57.492,34.2678
4740,66.1264,84.7258,64.646,27.5829
4770,68.1099,87.893,56.3789,28.8429
4800,67.8994,83.0912,57.7644,24.8419
4830,70.3087,84.1067,62.3226,27.5527
4860,67.7847,89.2334,59.424,30.5429
4890,71.2422,89.2083,58.7937,28.5972
4920,66.378,92.6296,55.8145,29.2185
4950,66.1356,89.1159,66.8979,26.591
4980,70.5316,91.3925,61.3051,29.2602
5010,70.9032,86.9129,61.2192,28.4346
5040,67.8806,85.4117,57.9781,28.2111
5070,67.9345,92.6144,59.6757,27.139
5100,72.1663,90.2444,58.2585,24.6629
5130,69.2365,90.6123,64.4555,28.274
5160,71.6949,88.6806,57.9874,26.2394
5190,72.9628,89.5246,63.38,29.287
5220,69.194,92.5393,61.4485,26.4188
5250,72.864,90.3967,59.6024,24.8239
5280,72.1975,86.9261,62.6043,29.7349
5310,72.3192,91.4042,61.4427,27.4253
5340,71.2082,88.819,62.525,29.7321
5370,73.2871,85.7452,59.9441,27.4227
5400,70.9527,86.4589,60.8451,29.935
5430,74.0768,87.2197,60.9145,27.0567
5460,75.4111,84.5562,59.2795,29.5775
5490,70.2685,86.4918,61.1779,31.1597
5520,72.0406,89.1985,59.3582,29.0463
5550,74.0454,87.1568,62.0374,27.9484
5580,70.2676,90.6273,60.6377,27.4025
5610,74.4412,90.0174,60.3056,26.2672
5640,73.3244,89.1858,63.9482,28.1283
5670,71.5308,91.3121,63.4298,27.0124
5700,71.0068,89.5579,60.5392,26.8262
5730,71.9667,91.1628,65.2927,25.6243
5760,74.4536,91.8125,59.6439,27.9287
5790,70.9582,83.0589,62.1305,30.0313
5820,74.253,92.522,62.0054,27.7069
5850,73.0297,86.1017,61.6111,29.3849
5880,73.6824,93.9221,59.1609,27.6731
5910,72.1593,93.4607,60.2257,28.728
5940,74.2725,94.1993,63.8595,31.182
5970,73.5822,91.594,64.842,29.3378
6000,73.5696,87.2338,63.9332,27.5803
6030,73.7028,88.5338,60.1549,26.9931
6060,71.3536,94.717,59.9043,30.3201
6090,71.8539,90.0699,64.4812,32.1709
6120,71.121,91.3646,65.1696,31.9262
6150,72.9757,87.9968,66.6406,26.8518
6180,74.5946,91.4749,62.7824,30.4067
6210,70.8517,94.1409,66.526,32.3601
