Time,FC,PAS,PAM,PAD
-1,83,121,99,63
0,91.3,133.1,108.9,63
30,90.5423,136.124,108.639,63
60,91.4584,135.082,110.194,63
90,90.2207,134.853,108.562,63
120,92.0825,133.014,111.514,63
150,101.161,131.991,120.407,63
180,99.789,130.258,122.697,63
210,91.2332,133.273,122.642,63
240,90.4185,132.128,117.92,63
270,90.4302,133.497,109.041,63
300,90.654,131.533,110.056,63
330,89.1494,130.779,108.492,63
360,91.9265,132.475,110.545,63
390,92.3883,132.224,108.801,63
420,91.0273,132.891,107.806,63
450,92.8807,135.102,107.476,64.7179
480,93.601,134.135,112.474,62.9791
510,92.4476,131.872,107.669,62.6585
540,90.404,131.359,105.185,61.3258
570,91.4545,136.427,112.557,64.2046
600,92.4167,134.203,107.993,61.6572
630,92.8007,132.386,109.083,61.5279
660,90.0188,133.013,107.807,61.2847
690,91.1186,131.524,106.875,61.8632
720,88.8453,130.735,107.57,61.2961
750,93.2117,129.596,112.972,62.0242
780,90.1704,134.695,111.669,62.5797
810,87.791,110.194,88.3006,53.9471
840,89.5724,106.591,82.4814,52.7228
870,89.5945,109.595,90.8931,48.7672
900,85.2021,100.925,83.6666,47.96
930,83.9012,103.794,85.5821,50.1381
960,83.8798,109.067,84.9808,49.6989
990,87.2745,105.557,83.1274,49.0595
1020,83.8453,109.31,89.1315,49.0061
1050,85.5603,105.106,87.1384,51.8737
1080,80.9241,132.223,85.7811,49.8965
1110,84.6781,136.624,83.9646,49.9129
1140,81.8693,139.276,87.4612,62.9013
1170,83.3023,132.497,90.6505,64.671
1200,83.2875,133.121,108.266,62.4445
1230,79.6165,130.938,113.046,60.5857
1260,74.3931,92.4458,76.7085,55.0184
1290,68.6991,92.7654,51.1366,40.9185
1320,69.8986,94.017,46.8442,42.4152
1350,69.7459,90.3008,48.6023,45.7842
1380,66.5676,88.0115,50.5867,45.1028
1410,68.0446,97.9883,46.9906,42.9067
1440,69.6812,91.7132,46.4692,44.3358
1470,70.4509,92.7782,51.4839,45.7778
1500,73.195,93.9959,69.3256,42.2398
1530,73.417,91.8246,72.063,44.037
1560,70.6197,91.6421,73.1384,43.2765
1590,72.0668,91.0308,71.1382,48.3704
1620,73.1662,91.2836,72.9159,44.2334
1650,72.972,92.8158,72.4989,45.8516
1680,71.2701,93.6638,69.8419,43.995
1710,70.9516,88.5352,67.9172,43.3538
1740,71.67,89.5891,66.8528,47.0035
1770,73.0786,91.0014,70.0461,43.0051
1800,73.8439,92.7996,69.1054,44.8671
1830,73.0711,93.2367,71.8961,44.4566
1860,71.1563,89.7637,71.807,44.9585
1890,73.4523,89.7237,68.6015,43.2125
1920,72.8847,95.39,68.9513,45.1827
1950,68.0254,59.1566,48.878,36.8514
1980,65.6792,62.0408,50.1579,33.4205
2010,65.3899,61.4495,51.9728,28.5452
2040,71.5262,67.8677,56.8989,27.0784
2070,70.4803,65.4838,51.6093,33.1728
2100,70.2029,64.7092,54.3788,28.5606
2130,69.8707,69.2951,54.5401,31.4822
2160,69.4167,63.2093,55.3223,32.1832
2190,70.1891,65.1334,54.2069,32.3119
2220,67.5333,65.578,53.0964,31.711
2250,66.2113,61.2296,54.0224,31.3256
2280,79.9305,81.06,65.0814,30.77
2310,80.311,79.8548,61.509,32.2392
2340,78.0479,76.3572,70.5313,29.9756
2370,81.5128,76.2621,61.0209,33.172
2400,81.0137,73.9401,63.1722,31.5796
2430,79.514,84.0879,61.711,31.1163
2460,80.566,79.2069,69.4183,28.3751
2490,77.2888,78.7444,66.6799,32.0895
2520,79.8991,81.1316,65.7619,28.0795
2550,69.514,71.8077,53.1533,31.3296
2580,70.2582,70.1406,47.87,33.2924
2610,69.3753,77.8658,50.1896,31.6613
2640,66.8285,74.3364,49.5438,28.7932
2670,69.1414,75.4086,50.3983,28.2649
2700,67.8714,70.3509,53.8849,31.268
2730,70.3595,73.9131,52.9652,33.2945
2760,68.722,68.7176,55.334,31.426
2790,69.7857,70.1662,57.7197,29.9565
2820,70.166,72.5114,50.7161,27.6514
2850,70.2344,73.4848,46.2009,29.3503
2880,69.1316,69.9411,50.5482,28.5756
2910,81.1582,84.0305,65.2716,30.3199
2940,79.7813,79.3389,63.4,31.9797
2970,79.0153,85.7168,65.5024,32.3082
3000,81.8694,83.1285,62.1873,33.2111
3030,82.0784,87.0627,64.4838,32.2731
3060,82.4608,84.2911,63.9229,30.7509
3090,84.7616,82.0677,63.1654,36.4149
3120,84.247,82.3234,63.7744,28.9865
3150,85.557,80.2863,61.3238,33.3912
3180,84.7444,83.844,62.4144,28.7245
